"通貨ペア","日付","始値","高値","安値","終値"
"11","2018/07/27",0.67789,0.67998,0.67618,0.6794
"11","2018/07/26",0.68339,0.68500,0.67802,0.67823
"11","2018/07/25",0.67956,0.68416,0.67849,0.68386
"11","2018/07/24",0.67811,0.68178,0.67683,0.67982
"11","2018/07/23",0.67950,0.68237,0.67756,0.6783
"11","2018/07/20",0.67408,0.68167,0.67191,0.68082
"11","2018/07/19",0.67899,0.68048,0.67132,0.67403
"11","2018/07/18",0.67800,0.68046,0.67418,0.67954
"11","2018/07/17",0.67726,0.68399,0.67534,0.67808
"11","2018/07/16",0.67573,0.67922,0.67560,0.67783
"11","2018/07/13",0.67736,0.67857,0.67247,0.67673
"11","2018/07/12",0.67552,0.67854,0.67474,0.67764
"11","2018/07/11",0.68252,0.68333,0.67535,0.67562
"11","2018/07/10",0.68316,0.68565,0.68056,0.68357
"11","2018/07/09",0.68332,0.68581,0.68289,0.68366
"11","2018/07/06",0.67841,0.68433,0.67808,0.6843
"11","2018/07/05",0.67558,0.67969,0.67499,0.67874
"11","2018/07/04",0.67473,0.67826,0.67454,0.67606
"11","2018/07/03",0.67111,0.67586,0.66872,0.6754
"11","2018/07/02",0.67770,0.67850,0.66888,0.6714
"11","2018/06/29",0.67537,0.67837,0.67353,0.67834
"11","2018/06/28",0.68010,0.68096,0.67455,0.6755
"11","2018/06/27",0.68488,0.68590,0.67776,0.67928
"11","2018/06/26",0.68894,0.69009,0.68466,0.68508
"11","2018/06/25",0.69106,0.69211,0.68845,0.68957
"11","2018/06/22",0.68560,0.69200,0.68560,0.69129
"11","2018/06/21",0.68572,0.68824,0.68250,0.68701
"11","2018/06/20",0.68900,0.69162,0.68592,0.68627
"11","2018/06/19",0.69322,0.69430,0.68841,0.69003
"11","2018/06/18",0.69313,0.69551,0.69194,0.69333
"11","2018/06/15",0.69691,0.69743,0.69269,0.69405
"11","2018/06/14",0.70181,0.70437,0.69710,0.69745
"11","2018/06/13",0.70017,0.70521,0.69738,0.70192
"11","2018/06/12",0.70212,0.70454,0.69960,0.70058
"11","2018/06/11",0.70225,0.70528,0.70149,0.7023
"11","2018/06/08",0.70229,0.70418,0.70074,0.70309
"11","2018/06/07",0.70303,0.70558,0.70218,0.70272
"11","2018/06/06",0.70176,0.70594,0.70176,0.70348
"11","2018/06/05",0.70261,0.70438,0.69972,0.70238
"11","2018/06/04",0.69825,0.70477,0.69765,0.7031
"11","2018/06/01",0.69966,0.70194,0.69599,0.6986
"11","2018/05/31",0.69829,0.70230,0.69679,0.69992
"11","2018/05/30",0.68939,0.69974,0.68823,0.69899
"11","2018/05/29",0.69380,0.69484,0.68888,0.68994
"11","2018/05/28",0.69225,0.69588,0.69169,0.69403
"11","2018/05/25",0.69233,0.69375,0.69050,0.69168
"11","2018/05/24",0.69155,0.69367,0.69054,0.69302
"11","2018/05/23",0.69301,0.69442,0.68834,0.69144
"11","2018/05/22",0.69417,0.69737,0.69196,0.69345
"11","2018/05/21",0.69254,0.69489,0.68833,0.69457
"11","2018/05/18",0.68770,0.69212,0.68711,0.69203
"11","2018/05/17",0.68920,0.69370,0.68720,0.68768
"11","2018/05/16",0.68597,0.69164,0.68504,0.68949
"11","2018/05/15",0.69081,0.69239,0.68534,0.68609
"11","2018/05/14",0.69585,0.69736,0.69105,0.6912
"11","2018/05/11",0.69580,0.69862,0.69535,0.69682
"11","2018/05/10",0.69427,0.69700,0.69018,0.69618
"11","2018/05/09",0.69666,0.69960,0.69482,0.69821
"11","2018/05/08",0.70144,0.70298,0.69528,0.69684
"11","2018/05/07",0.70132,0.70406,0.69940,0.70162
"11","2018/05/04",0.70369,0.70521,0.69934,0.70193
"11","2018/05/03",0.69894,0.70465,0.69875,0.70399
"11","2018/05/02",0.70007,0.70309,0.69843,0.69913
"11","2018/05/01",0.70320,0.70404,0.69897,0.70034
"11","2018/04/30",0.70796,0.70884,0.70328,0.70342
"11","2018/04/27",0.70573,0.70951,0.70354,0.70855
"11","2018/04/26",0.70667,0.70945,0.70553,0.70611
"11","2018/04/25",0.71161,0.71195,0.70572,0.70674
"11","2018/04/24",0.71443,0.71570,0.71048,0.7117
"11","2018/04/23",0.72124,0.72174,0.71451,0.71476
"11","2018/04/20",0.72668,0.72705,0.72001,0.72093
"11","2018/04/19",0.73209,0.73395,0.72593,0.72703
"11","2018/04/18",0.73374,0.73439,0.73029,0.73216
"11","2018/04/17",0.73579,0.73717,0.73257,0.73405
"11","2018/04/16",0.73486,0.73703,0.73330,0.73616
"11","2018/04/13",0.73707,0.73945,0.73447,0.73517
"11","2018/04/12",0.73547,0.73886,0.73504,0.73736
"11","2018/04/11",0.73611,0.73777,0.73439,0.73581
"11","2018/04/10",0.73020,0.73752,0.73020,0.73631
"11","2018/04/09",0.72662,0.73235,0.72652,0.73052
"11","2018/04/06",0.72705,0.72815,0.72424,0.72773
"11","2018/04/05",0.73050,0.73214,0.72616,0.72713
"11","2018/04/04",0.72518,0.73103,0.72507,0.73048
"11","2018/04/03",0.72088,0.72700,0.71943,0.72549
"11","2018/04/02",0.72345,0.72398,0.72096,0.72137
"11","2018/03/30",0.72288,0.72470,0.72199,0.72383
"11","2018/03/29",0.72073,0.72335,0.71874,0.72299
"11","2018/03/28",0.72628,0.72737,0.72026,0.72109
"11","2018/03/27",0.72927,0.73028,0.72575,0.72626
"11","2018/03/26",0.72299,0.72999,0.72283,0.72983
"11","2018/03/23",0.71987,0.72730,0.71987,0.72395
"11","2018/03/22",0.72203,0.72619,0.72081,0.72086
"11","2018/03/21",0.71795,0.72451,0.71525,0.72304
"11","2018/03/20",0.72395,0.72484,0.71762,0.71811
"11","2018/03/19",0.72125,0.72597,0.71951,0.72444
"11","2018/03/16",0.72731,0.72797,0.72073,0.72138
"11","2018/03/15",0.73248,0.73337,0.72667,0.72763
"11","2018/03/14",0.73200,0.73531,0.73172,0.73339
"11","2018/03/13",0.72899,0.73540,0.72898,0.73241
"11","2018/03/12",0.72836,0.73225,0.72835,0.72929
"11","2018/03/09",0.72544,0.72969,0.72487,0.72889
"11","2018/03/08",0.72760,0.72968,0.72446,0.7258
"11","2018/03/07",0.72885,0.72992,0.72536,0.72877
"11","2018/03/06",0.72214,0.73101,0.72207,0.72932
"11","2018/03/05",0.72318,0.72432,0.72021,0.72253
"11","2018/03/02",0.72473,0.72790,0.72182,0.7236
"11","2018/03/01",0.72026,0.72628,0.71855,0.725
"11","2018/02/28",0.72312,0.72424,0.72059,0.72069
"11","2018/02/27",0.72996,0.73031,0.72305,0.72335
"11","2018/02/26",0.72884,0.73444,0.72760,0.73042
"11","2018/02/23",0.73397,0.73454,0.72701,0.72898
"11","2018/02/22",0.73146,0.73643,0.73069,0.73393
"11","2018/02/21",0.73377,0.73857,0.73161,0.73183
"11","2018/02/20",0.73676,0.73739,0.73354,0.73468
"11","2018/02/19",0.73737,0.74088,0.73526,0.73687
"11","2018/02/16",0.74020,0.74362,0.73726,0.73928
"11","2018/02/15",0.73622,0.74108,0.73620,0.74068
"11","2018/02/14",0.72681,0.73786,0.72393,0.73636
"11","2018/02/13",0.72591,0.73143,0.72463,0.7274
"11","2018/02/12",0.72376,0.72764,0.72313,0.72626
"11","2018/02/09",0.72123,0.72586,0.71978,0.72558
"11","2018/02/08",0.72320,0.72420,0.71761,0.72187
"11","2018/02/07",0.73314,0.73453,0.72096,0.72391
"11","2018/02/06",0.72601,0.73507,0.72561,0.73373
"11","2018/02/05",0.72857,0.73298,0.72595,0.72629
"11","2018/02/02",0.73925,0.74052,0.72943,0.73017
"11","2018/02/01",0.73586,0.74028,0.73332,0.73953
"11","2018/01/31",0.73264,0.74193,0.73259,0.73647
"11","2018/01/30",0.73232,0.73545,0.72788,0.733
"11","2018/01/29",0.73390,0.73633,0.73008,0.73192
"11","2018/01/26",0.73192,0.73740,0.72891,0.73544
"11","2018/01/25",0.73329,0.73918,0.73133,0.73225
"11","2018/01/24",0.73495,0.74361,0.73460,0.73476
"11","2018/01/23",0.73220,0.73641,0.73055,0.73529
"11","2018/01/22",0.72810,0.73285,0.72669,0.73254
"11","2018/01/19",0.72889,0.73227,0.72730,0.7281
"11","2018/01/18",0.72664,0.73203,0.72451,0.73007
"11","2018/01/17",0.72618,0.73308,0.72340,0.72686
"11","2018/01/16",0.72944,0.73067,0.72584,0.72683
"11","2018/01/15",0.72336,0.73139,0.72336,0.72988
"11","2018/01/12",0.72570,0.72756,0.72186,0.72571
"11","2018/01/11",0.71938,0.72614,0.71814,0.72591
"11","2018/01/10",0.71569,0.72291,0.71393,0.71985
"11","2018/01/09",0.71717,0.71964,0.71600,0.71606
"11","2018/01/08",0.71603,0.71836,0.71546,0.71759
"11","2018/01/05",0.71500,0.71860,0.71438,0.71678
"11","2018/01/04",0.70885,0.71628,0.70723,0.71539
